source_pdf,상품명,브랜드명,상세_카테고리명,의류종류,가격,소재,케어방법,사이즈,사이즈_상세,색상,이미지_무드,이미지_톤,이미지_배경,사진_구성,모델_특징,제품_특징,브랜드_평,이미지_요약
여성_의류/01_3442256.pdf,2026.01.30 ~ 02.12,SPECIAL-ORDER,여성_의류,,78000,,,,"d Essential ST Tee-Ivory 보니 크루넥 S/T 티셔츠 Cookie stripe t-shirt (gray) Stripe loose fit
21%38,640 37,500 32%42,160 19%44,420
무료배송 쿠폰 쿠폰 쿠폰
동일 브랜드 다른 상품 더보기
비터셀즈 비터셀즈 비터셀즈 비터셀즈
[2 PACK-컬러추가]Essential Golgi ... Poddy Fleece Half Zip Up-Charc... [SET]Essential V Neck Knit & Sha... Hood Check Lig
30%54,600 21%85,950 26%58,540 21%109,610
무료배송 무료배송 쿠폰 무료배송 쿠폰 무료배송 쿠폰
상품번호 선물하기 구매하기

배송정보, 교환/환불안내
상품정보
판매자정보
선물하기 구매하기",gray,,,,,,,,
여성_의류/02_3599047.pdf,[은현 PICK]_[은현 PICK] wool double-breasted coat (melange gray),LE 107K,여성_의류,,43052,shell : wool 100%,,Free,"info.
free : 어깨 50cm , 가슴 59cm , 암홀 27cm , 소매기장 60cm , 소매너비 16.5cm , 밑단너비 65.5cm ,
총기장 115.5cm
/model size
height 173cm , bust 29cm , waist 22.5cm , hip 34.5cm / free size
* 모델은 소매기장 4cm, 몸판기장 2.5cm추가된 촬영용 샘플을 착용하였습니다.
* 상세 사이즈는 단면 기준입니다.
* 옷의 원단 특성상 측정 방법에 따라 오차가 있을 수 있는 점 참고 부탁드립다.
delivery & return.
- CJ 대한통운으로 배송 됩니다.
- 주문 후 배송 출고는 영업일 기준 3~4일 정도 소요되며, 재고 상황에 따라 배송 시일은 변경될 수 있습니
다.
- 제주 및 도서 산간 지역은 추가 운임이 발생될 수 있습니다.
- 교환 및 반품은 상품 수령 후 2일 이내에 신청, 신청 후 5일 이내에 발송하셔야 합니다.
- 교환 및 반품이 불가능한 경우 안내
º 고객님의 책임 있는 사유로 상품 등이 멸실 또는 훼손된 경우
º 시간의 경과에 의하여","MELANGE,GRAY",,,,,,,,
여성_의류/03_2123023.pdf,▶ 선물 포장 옵션이 없는 제품의 선물 포장을 원하실 경우 꼭 자사 고객센터(채널톡)로 문의 부탁 드립니다. (29cm 게시판,KOZNOK 27K,여성_의류,,83300,최대 91% 혜택으로 미리 준비해요,,,"HELP
구매 시 상세 사이즈를 확인 바랍니다.
나시 단면
총길이 35.0
어깨 너비 18.0
가슴 너비 32.0
브라탑/캐미솔 BEST 더보기
코즈넉 마른파이브 누아누 글로니
캡 내장 심리스 쿨링 크롭 레이어드 이너 ... 모달 캡내장 브라탑 나시 4Color Rose Camisole_Apricot G CLAS
1%9,800 52%8,050 15%83,300 36,00
쿠폰 조건부 무료배송 쿠폰 조건부 무료배송 무료배송
선물하기 구매하기

추천 상품 더보기
코즈넉 코즈넉 코즈넉 코즈넉
캡 내장 기본 브이 끈나시 캡나시 패드... 캡 내장 테일 심리스 쿨링 크롭 레이어... 캡 내장 레이스 이너 나시티 레이어드 ... 캡 내장 골지 레이
9,900 20%9,900 1%14,800 9,900
눈여겨봐야 할 브랜드
이니스프리 지비에이치 라우쉬 야오
레티놀 PDRN 앰플 겔 마스크 [선물포장] 핸드 워시 & 핸드 로션 기... 라우쉬 윌로우바크 트리트먼트 린스 ... 헤어브러쉬 우드라
32%2,720 15%39,950 30%20,400 5%25,550
리뷰(4246)
선물하",채널톡,,,,,,,,
여성_의류/03_2801298.pdf,_Washable V-neck knit_7colors,바로배송,여성_의류,,58000,,,Free,"]Dark navy,Free
체형 : 165cm, 56kg
사이즈 : 잘 맞아요
색상이 검정이 아니라 약간의 매력이 있구요 저는 남방이랑 레이어드해서 입을니트를 찾다가 구매했는데 아주 ...
rkd****** 2025.12.18
옵션 : [color:size]Gray,Free
체형 : 160cm, 55kg
사이즈 : 잘 맞아요
키 159cm / 57kg, 평소 상의 55 사이즈 입는데 핏이 정말 딱 예쁘게 잘 맞아요. 브이넥 파임도 과하지 않아 단...
scr******** 2025.12.02
옵션 : [color:size]Beige,Free
체형 : 162cm, 60kg
사이즈 : 잘 맞아요
사진이 색감을 못잡네요.실제로는 예쁜 베이지색 입니다.한달전에 네이비색 사서 너무 잘 입어서 하나 더 구입...
선물하기 구매하기
win****** 2025.11.24

옵션 : [color:size]Gray,Free, [color:size]Mint,Free, [color:size]Beige,Free
체형 : 156cm, 57kg
사이즈 : 잘 맞아요
지지난달 초부터 눈독 들이던",Gray,,,,,,,,
여성_의류/04_3714943.pdf,SOFT MINI LABEL LONG SLEEVE (9colors),SET,여성_의류,,88000,,,,": 잘 맞아요
올리브색은 굉장히 쫀쫀한 티고 회색스트라이프는 면느낌이 좀 더 있는 티에요. 둘이 소재감이 좀 달라요. 올리...
o_o****** 2026.01.30
옵션 : [COLOR #1]RED [COLOR #2]BLACK STRIPE
체형 : 167cm, 50kg
사이즈 : 잘 맞아요
후기가 없어서 고민하다가 색감이 이뻐서 주문했는데요 레드색상은 화면과는 전혀 다른 (?) 톤다운된 자주색에...
hmj*** 2026.01.31
옵션 : [COLOR #1]GREY STRIPE [COLOR #2]BLUE
체형 : 159cm, 44kg
사이즈 : 잘 맞아요
니트, 가디건 레이어드용으로 구매했어요! 단품으로 구매하는 것보다 세트로 2개 선택해서 구매할 수 있어서 ...
선물하기 구매하기
wjd******* 2026.01.31

옵션 : [COLOR #1]WHITE [COLOR #2]BLACK STRIPE, [COLOR #1]GREY STRIPE [COLOR #2]BLACK
체형 : 168cm, 57kg
사이즈 : 잘 맞아요
이너티 사려고 알아보던중 발견한 론론👀 예약",s),,,,,,,,
여성_의류/05_3536238.pdf,[고윤정 착용] [예약] ROCKY WAFFLE SLEEVELESS TOP (NAVY),[고윤정 착용] [예약] ROCKY WAFFLE SLEEVELESS TOP (NAVY),여성_의류,,13800,95% COTTON 5% SPANDEX,,"S,M,L","HELP
구매 시 상세 사이즈를 확인 바랍니다.
S M L
총길이 49.7 51.7 53.7
어깨 너비 33.0 34.5 36.0
가슴 너비 28.5 31.0 33.5
소매 길이 61.5 63.5 66.0
밑단 너비 30.5 33.0 35.5
슬리브리스 BEST 더보기
품절

메리온 코즈넉 오브베이지 파르티멘
뮤렌 뷔스티에_2COLORS 캡 내장 심리스 쿨링 크롭 레이어드 이너 ... CAROL SATIN LACE TOP_IVORY_O... PWC B
20%71,200 6%9,310 28%70,560 19%3
쿠폰 조건부 무료배송 쿠폰 쿠폰 조건부 무료배송 쿠폰
추천 상품 더보기
글로니 글로니 글로니 스컬프터
G CLASSIC TANK_3 Colors G CLASSIC CAMISOLE (PISTAC... BLOOMING CORSET TOP (WHITE) The Day Dream
10%34,200 36,000 8%108,000 15%15,300
무료배송 무료배송 무료배송 쿠폰
눈여겨봐야 할 브랜드
야오 아닐로 아로마티카 오드타입
헤어브러쉬 스칼프케어라운드(브런트... [",NAVY,,,,,,,,
여성_의류/06_2892735.pdf,[28th] BOUCLE RAM HALF FUR-COAT_BEIGE,컬러 BEIGE,여성_의류,,48960,,,Free,"]FREE
체형 : 158cm, 48kg
사이즈 : 커요
털빠짐이 매우 심하게 있어요..! 얼굴에도 손에도 소지품에도 온통 털.... 주머니에 잠깐 카드랑 머리끈 넣었더니...
psg**** 2026.01.29
옵션 : [SIZE]FREE
체형 : 153cm, 55kg
사이즈 : 잘 맞아요
꼭! 사세요. 전 보통 아우터 85~95입어요. 요건 딱이네! 무스탕 보다도 날씬해보임 이가격에 이런 옷을 살수있...
shi***** 2026.01.29
옵션 : [SIZE]FREE
체형 : 162cm, 48kg
사이즈 : 잘 맞아요
배송도 생각보다 빨리 왔고, 옷이 예뻐요. 여기저기 잘 어울려 활용도도 좋아요. 폭이 넉넉해서 겹쳐 입기 좋은...
gum******* 2026.01.28
옵션 : [SIZE]FREE
체형 : 158cm, 52kg
사이즈 : 잘 맞아요
겨울 털 코트 찾다가 드디어 맘에 드는 오떼뜨 아이보리 찾았어요 털날림 조금 있는데 페브리즈 뿌려 건조기 10...
dys******* 2026.01.14
옵션 : [SIZE]FREE
체형 : 163cm, 54kg
사이즈",beige,,,,,,,,
여성_의류/07_2960683.pdf,[은현 PICK] vintage fur half coat (beige),LE 107K,여성_의류,,29452,,,Free,"]FREE
체형 : 161cm, 48kg
사이즈 : 커요
몇년째 입고 싶었지만 부담스럽기도 관리도 어려워서 선택을 못했는데요. 이번에 과감하게 질러보았습니다 ㅋ ...
395**** 2026.01.16
옵션 : [사이즈]FREE
체형 : 153cm, 40kg
선물하기 구매하기
사이즈 : 커요

1. 털빠짐 ㄹㅈㄷ 2. 털에 묻혀서 고리 찾기 어려워가지구 걍 푸르고 다녀요 3. 보온성 굿 안 잠그고 다녀도 따뜻...
mar******** 2026.01.16
옵션 : [사이즈]FREE
체형 : 160cm, 56kg
사이즈 : 커요
일단 털 많이빠집니다 ㅋㅋ 근데 하도 많이 빠진다해서 예상은했구요 그래서 받자마자 가지고 나가서 엄청털고...
ger**** 2026.01.14
옵션 : [사이즈]FREE
체형 : 167cm, 50kg
사이즈 : 커요
리뷰에 많이 적혀있는것처럼 털빠짐이 정~~말 심각합니다!! 저는 처음에 배송오고 난 후에 건조기 먼지털기 기...
aee*** 2026.01.04
옵션 : [사이즈]FREE
체형 : 163cm, 52kg
사이즈 : 잘 맞아요
치마,",BEIGE,,,,,,,,
여성_의류/08_3364834.pdf,3/4 BUTTON FLY TEE_3 Colors,GLOWNY 86K,여성_의류,,50000,,,"S,M,L","HELP
구매 시 상세 사이즈를 확인 바랍니다.
XS S M L XL
총길이 46.0 48.0 50.0 52.5 54.5
어깨 너비 32.5 34.5 36.0 37.5 39.0
가슴 너비 34.5 37.0 39.0 41.0 43.0
허리 너비 31.0 33.0 35.0 37.0 39.0
밑단 너비 33.5 36.0 38.0 40.0 42.0
긴소매 티셔츠 BEST 더보기
선물하기 구매하기

비터셀즈 썸웨어버터 레터프롬문 론론
[2 PACK-컬러추가]Essential Golgi Te... [10th] Raglan Campus Logo Long T... [2/13 순차배송][29CM 단독] 리브 홀터... [SET] S
30%54,600 5%46,550 10%61,200 44%4
무료배송 쿠폰 조건부 무료배송 조건부 무료배송 무료배송
추천 상품 더보기
글로니 글로니 글로니 글로니
3/4 BUTTON FLY TEE (CHARCO... 3/4 BUTTON FLY TEE (NAVY) 3/4 BUTTON FLY TEE (MARSHM... [미연 착용] TEXA
10%45,000","WHITE,MELANGE,GRAY,BLACK",,,,,,,,
여성_의류/09_1187467.pdf,[시그니처] 데일리 2.0 브라렛 팬티 세트 - 6Colors,29CM 선오픈,여성_의류,,32000,,,,"]스킨:M.95
체형 : 156cm, 57kg
사이즈 : 잘 맞아요
스킨 색상 구매했어요~ 살쪄서 80A로 입는데 여기 M했는데 잘 맞네요. 팬티는 95가 맞지만 잘 늘어나는 재질...
sso****** 2026.01.17
옵션 : [색상:사이즈]스킨:S.95
체형 : 160cm, 53kg
사이즈 : 작아요
세일가에 후기가 많아서 구매했는데 - 처음 사진처럼 브라 불량으로 교환신청 - 9일 걸려 교환상품 받았는데 ...
pea********* 2026.01.14
옵션 : [색상:사이즈]스킨:S.90, [색상:사이즈]그레이지:S.90
체형 : 155cm, 46kg
사이즈 : 잘 맞아요
6번째 구매입니다! 너무 편합니다. 이것 입고 나서 부터는 와이어 들어간건 아예 못입겠더라구요. 이전 버젼이 ...
선물하기 구매하기
fhd** 2026.01.13

옵션 : [색상:사이즈]스킨:M.95
체형 : 160cm, 58kg
사이즈 : 작아요
베스트 순위 1등 제품이라 눈여겨보고 있다가, 마침 행사 기간에 주문하게 되었습니다. 가슴을 모아주는 기능성...
min***** 2026.0",,,,,,,,,
